Metadata_Experiment,Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
toxin22A,p58,F01,48h,10,15hHB101_20210223,water,1,Paraquat,0,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p58,F05,48h,10,15hHB101_20210223,water,1,Paraquat,31.25,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p58,F07,48h,10,15hHB101_20210223,water,1,Paraquat,125,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p58,F09,48h,10,15hHB101_20210223,water,1,Paraquat,500,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p58,F11,48h,10,15hHB101_20210223,water,1,Paraquat,2000,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p59,A01,48h,10,15hHB101_20210223,water,1,Paraquat,0,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p59,A05,48h,10,15hHB101_20210223,water,1,Paraquat,31.25,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p59,A07,48h,10,15hHB101_20210223,water,1,Paraquat,125,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p59,A09,48h,10,15hHB101_20210223,water,1,Paraquat,500,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p59,A11,48h,10,15hHB101_20210223,water,1,Paraquat,2000,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p59,F01,48h,10,15hHB101_20210223,water,1,Paraquat,0,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p59,F05,48h,10,15hHB101_20210223,water,1,Paraquat,31.25,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p59,F07,48h,10,15hHB101_20210223,water,1,Paraquat,125,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p59,F09,48h,10,15hHB101_20210223,water,1,Paraquat,500,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p59,F11,48h,10,15hHB101_20210223,water,1,Paraquat,2000,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p60,A01,48h,10,15hHB101_20210223,water,1,Paraquat,0,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p60,A05,48h,10,15hHB101_20210223,water,1,Paraquat,31.25,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p60,A07,48h,10,15hHB101_20210223,water,1,Paraquat,125,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p60,A09,48h,10,15hHB101_20210223,water,1,Paraquat,500,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p60,A11,48h,10,15hHB101_20210223,water,1,Paraquat,2000,20200126,serial; Rscript,XZ1516,3,,,
toxin22A,p60,F01,48h,10,15hHB101_20210223,water,1,Paraquat,0,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p60,F05,48h,10,15hHB101_20210223,water,1,Paraquat,31.25,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p60,F07,48h,10,15hHB101_20210223,water,1,Paraquat,125,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p60,F09,48h,10,15hHB101_20210223,water,1,Paraquat,500,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p60,F11,48h,10,15hHB101_20210223,water,1,Paraquat,2000,20200126,serial; Rscript,ECA396,3,,,
toxin22A,p61,A01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p61,A09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p61,A10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p61,A11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p61,A12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p61,D01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p61,D09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p61,D10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p61,D11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p61,D12,48h,10,15hHB101_20210223,water,1,Zinc dichloride,400,20200126,serial; Rscript,XZ1516,1,,,
toxin22A,p62,A01,48h,10,15hHB101_20210223,water,1,Zinc dichloride,0,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p62,A09,48h,10,15hHB101_20210223,water,1,Zinc dichloride,50,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p62,A10,48h,10,15hHB101_20210223,water,1,Zinc dichloride,100,20200126,serial; Rscript,ECA396,1,,,
toxin22A,p62,A11,48h,10,15hHB101_20210223,water,1,Zinc dichloride,200,20200126,serial; Rscript,ECA396,1,,,
